,Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,Start Date,Team Name,Not Out
35286,AD Russell,21.0,18,11,3,1,190.90,1,v MI,Wankhede,2023-04-16,Kolkata Knight Riders,1.0
35288,AD Russell,38.0,49,31,1,4,122.58,1,v DC,Delhi,2023-04-20,Kolkata Knight Riders,1.0
35290,AD Russell,9.0,14,6,0,1,150.00,2,v CSK,Eden Gardens,2023-04-23,Kolkata Knight Riders,0.0
35292,AD Russell,1.0,10,2,0,0,50.00,1,v RCB,Bengaluru,2023-04-26,Kolkata Knight Riders,0.0
35294,AD Russell,34.0,22,19,2,3,178.94,1,v GT,Eden Gardens,2023-04-29,Kolkata Knight Riders,0.0
35296,AD Russell,24.0,13,15,1,2,160.00,1,v SRH,Hyderabad,2023-05-04,Kolkata Knight Riders,0.0
35298,AD Russell,42.0,34,23,3,3,182.60,2,v Punjab Kings,Eden Gardens,2023-05-08,Kolkata Knight Riders,0.0
35300,AD Russell,10.0,19,10,0,1,100.00,1,v RR,Eden Gardens,2023-05-11,Kolkata Knight Riders,0.0
35302,AD Russell,2.0,9,2,0,0,100.00,2,v CSK,Chennai,2023-05-14,Kolkata Knight Riders,1.0
35304,AD Russell,7.0,13,9,0,1,77.77,2,v LSG,Eden Gardens,2023-05-20,Kolkata Knight Riders,0.0
35306,AD Russell,64.0,32,25,3,7,256.00,1,v SRH,Eden Gardens,2024-03-23,Kolkata Knight Riders,1.0
35310,AD Russell,41.0,43,19,4,3,215.78,1,v DC,Visakhapatnam,2024-04-03,Kolkata Knight Riders,0.0
35312,AD Russell,10.0,11,10,2,0,100.00,1,v CSK,Chennai,2024-04-08,Kolkata Knight Riders,0.0
35316,AD Russell,13.0,18,10,2,0,130.00,1,v RR,Eden Gardens,2024-04-16,Kolkata Knight Riders,0.0
35318,AD Russell,27.0,37,20,4,0,135.00,1,v RCB,Eden Gardens,2024-04-21,Kolkata Knight Riders,1.0
35320,AD Russell,24.0,-1,12,2,2,200.00,1,v Punjab Kings,Eden Gardens,2024-04-26,Kolkata Knight Riders,0.0
35324,AD Russell,7.0,3,2,0,1,350.00,1,v MI,Wankhede,2024-05-03,Kolkata Knight Riders,0.0
35326,AD Russell,12.0,15,8,1,1,150.00,1,v LSG,Lucknow,2024-05-05,Kolkata Knight Riders,0.0
35328,AD Russell,24.0,26,14,2,2,171.42,1,v MI,Eden Gardens,2024-05-11,Kolkata Knight Riders,0.0
10914,AJ Finch,21.0,-1,21,0,1,100.00,1,v KKR,Eden Gardens,2010-04-17,Rajasthan Royals,0.0
10916,AJ Finch,8.0,-1,12,1,0,66.66,1,v MI,Delhi,2011-04-10,Delhi Daredevils,0.0
10918,AJ Finch,11.0,0,14,1,1,78.57,1,v RR,Jaipur,2011-04-12,Delhi Daredevils,0.0
10920,AJ Finch,25.0,-1,12,1,2,208.33,2,v Warriors,DY Patil,2011-04-17,Delhi Daredevils,0.0
10922,AJ Finch,0.0,-1,1,0,0,0.00,2,v Chargers,Delhi,2011-04-19,Delhi Daredevils,0.0
10924,AJ Finch,3.0,-1,5,0,0,60.00,1,v Kings XI,Delhi,2011-04-23,Delhi Daredevils,0.0
10926,AJ Finch,0.0,-1,2,0,0,0.00,2,v Chargers,Hyderabad,2011-05-05,Delhi Daredevils,0.0
10928,AJ Finch,30.0,-1,27,5,0,111.11,2,v KKR,Eden Gardens,2012-04-05,Delhi Daredevils,0.0
10930,AJ Finch,25.0,43,24,3,0,104.16,2,v RCB,Bengaluru,2012-04-07,Delhi Daredevils,0.0
10932,AJ Finch,64.0,71,53,6,3,120.75,2,v RR,Pune,2013-04-11,Pune Warriors,0.0
10934,AJ Finch,0.0,1,1,0,0,0.00,2,v MI,Wankhede,2013-04-13,Pune Warriors,0.0
10936,AJ Finch,67.0,48,45,10,2,148.88,1,v CSK,Chennai,2013-04-15,Pune Warriors,0.0
10938,AJ Finch,16.0,21,13,3,0,123.07,2,v SRH,Pune,2013-04-17,Pune Warriors,0.0
10940,AJ Finch,64.0,66,42,8,2,152.38,1,v Kings XI,Mohali,2013-04-21,Pune Warriors,0.0
10942,AJ Finch,18.0,16,15,4,0,120.00,2,v RCB,Bengaluru,2013-04-23,Pune Warriors,0.0
10944,AJ Finch,37.0,47,33,5,0,112.12,2,v Daredevils,Raipur,2013-04-28,Pune Warriors,0.0
10946,AJ Finch,15.0,13,9,2,1,166.66,2,v CSK,Pune,2013-04-30,Pune Warriors,0.0
10948,AJ Finch,15.0,13,11,1,1,136.36,2,v RCB,Pune,2013-05-02,Pune Warriors,0.0
10950,AJ Finch,45.0,44,32,7,0,140.62,1,v RR,Jaipur,2013-05-05,Pune Warriors,0.0
10952,AJ Finch,5.0,14,5,1,0,100.00,2,v KKR,Pune,2013-05-09,Pune Warriors,0.0
10954,AJ Finch,10.0,12,11,2,0,90.90,1,v MI,Pune,2013-05-11,Pune Warriors,0.0
10956,AJ Finch,48.0,53,32,2,3,150.00,1,v KKR,Ranchi,2013-05-15,Pune Warriors,0.0
10958,AJ Finch,52.0,52,34,3,4,152.94,1,v Daredevils,Pune,2013-05-19,Pune Warriors,0.0
10960,AJ Finch,2.0,-1,5,0,0,40.00,1,v RR,Abu Dhabi,2014-04-18,Sunrisers Hyderabad,0.0
10962,AJ Finch,19.0,24,15,2,1,126.66,2,v Kings XI,Sharjah,2014-04-22,Sunrisers Hyderabad,0.0
10964,AJ Finch,88.0,90,53,8,4,166.03,1,v Daredevils,Dubai (DICS),2014-04-25,Sunrisers Hyderabad,1.0
10966,AJ Finch,44.0,72,45,5,0,97.77,1,v CSK,Sharjah,2014-04-27,Sunrisers Hyderabad,0.0
10968,AJ Finch,16.0,23,15,3,0,106.66,1,v MI,Dubai (DICS),2014-04-30,Sunrisers Hyderabad,0.0
10970,AJ Finch,13.0,13,8,1,1,162.50,1,v RCB,Bengaluru,2014-05-04,Sunrisers Hyderabad,0.0
10972,AJ Finch,9.0,33,10,1,0,90.00,1,v RR,Ahmedabad,2014-05-08,Sunrisers Hyderabad,0.0
10974,AJ Finch,4.0,19,7,0,0,57.14,2,v Daredevils,Delhi,2014-05-10,Sunrisers Hyderabad,0.0
10976,AJ Finch,68.0,84,62,7,2,109.67,1,v MI,Hyderabad,2014-05-12,Sunrisers Hyderabad,0.0
10978,AJ Finch,20.0,40,23,2,0,86.95,1,v Kings XI,Hyderabad,2014-05-14,Sunrisers Hyderabad,0.0
10980,AJ Finch,8.0,6,8,1,0,100.00,1,v KKR,Hyderabad,2014-05-18,Sunrisers Hyderabad,0.0
10982,AJ Finch,11.0,17,9,1,0,122.22,2,v RCB,Hyderabad,2014-05-20,Sunrisers Hyderabad,1.0
10984,AJ Finch,7.0,3,3,0,1,233.33,2,v CSK,Ranchi,2014-05-22,Sunrisers Hyderabad,0.0
10986,AJ Finch,5.0,0,5,1,0,100.00,1,v KKR,Eden Gardens,2015-04-08,Mumbai Indians,0.0
10988,AJ Finch,8.0,0,14,1,0,57.14,2,v Kings XI,Wankhede,2015-04-12,Mumbai Indians,0.0
10990,AJ Finch,10.0,0,14,2,0,71.42,1,v RR,Ahmedabad,2015-04-14,Mumbai Indians,1.0
10992,AJ Finch,74.0,58,47,12,0,157.44,2,v Kings XI,Mohali,2016-04-11,Gujarat Lions,0.0
10994,AJ Finch,50.0,39,36,7,2,138.88,2,v Supergiants,Rajkot,2016-04-14,Gujarat Lions,0.0
10996,AJ Finch,67.0,105,54,7,1,124.07,2,v MI,Wankhede,2016-04-16,Gujarat Lions,1.0
10998,AJ Finch,0.0,3,4,0,0,0.00,1,v SRH,Rajkot,2016-04-21,Gujarat Lions,0.0
11002,AJ Finch,5.0,7,5,1,0,100.00,1,v Daredevils,Rajkot,2016-05-03,Gujarat Lions,0.0
11004,AJ Finch,51.0,71,42,3,1,121.42,1,v SRH,Hyderabad,2016-05-06,Gujarat Lions,1.0
11006,AJ Finch,29.0,17,10,3,2,290.00,2,v KKR,Eden Gardens,2016-05-08,Gujarat Lions,0.0
11008,AJ Finch,37.0,49,38,3,1,97.36,2,v RCB,Bengaluru,2016-05-14,Gujarat Lions,0.0
11010,AJ Finch,26.0,31,23,1,2,113.04,2,v KKR,Kanpur,2016-05-19,Gujarat Lions,0.0
11012,AJ Finch,0.0,1,2,0,0,0.00,2,v MI,Kanpur,2016-05-21,Gujarat Lions,0.0
11014,AJ Finch,4.0,7,6,1,0,66.66,1,v RCB,Bengaluru,2016-05-24,Gujarat Lions,0.0
11016,AJ Finch,50.0,42,32,7,2,156.25,1,v SRH,Delhi,2016-05-27,Gujarat Lions,0.0
11018,AJ Finch,15.0,9,8,0,2,187.50,1,v KKR,Rajkot,2017-04-07,Gujarat Lions,0.0
11020,AJ Finch,3.0,4,5,0,0,60.00,1,v SRH,Hyderabad,2017-04-09,Gujarat Lions,0.0
11022,AJ Finch,33.0,28,19,3,2,173.68,2,v Supergiant,Rajkot,2017-04-14,Gujarat Lions,1.0
11024,AJ Finch,19.0,29,15,2,1,126.66,2,v RCB,Rajkot,2017-04-18,Gujarat Lions,0.0
11026,AJ Finch,31.0,13,15,4,2,206.66,2,v KKR,Eden Gardens,2017-04-21,Gujarat Lions,0.0
11028,AJ Finch,13.0,30,12,0,1,108.33,2,v Kings XI,Rajkot,2017-04-23,Gujarat Lions,0.0
11030,AJ Finch,72.0,39,34,5,6,211.76,2,v RCB,Bengaluru,2017-04-27,Gujarat Lions,0.0
11032,AJ Finch,0.0,7,3,0,0,0.00,1,v MI,Rajkot,2017-04-29,Gujarat Lions,0.0
11034,AJ Finch,13.0,0,6,1,1,216.66,1,v Supergiant,Pune,2017-05-01,Gujarat Lions,0.0
11036,AJ Finch,27.0,30,19,4,0,142.10,1,v Daredevils,Delhi,2017-05-04,Gujarat Lions,0.0
11038,AJ Finch,2.0,0,2,0,0,100.00,2,v Kings XI,Mohali,2017-05-07,Gujarat Lions,0.0
11040,AJ Finch,69.0,58,39,6,4,176.92,1,v Daredevils,Kanpur,2017-05-10,Gujarat Lions,0.0
11042,AJ Finch,2.0,4,3,0,0,66.66,1,v SRH,Kanpur,2017-05-13,Gujarat Lions,0.0
11044,AJ Finch,0.0,-1,1,0,0,0.00,1,v RCB,Bengaluru,2018-04-13,Kings XI Punjab,0.0
11046,AJ Finch,0.0,-1,1,0,0,0.00,1,v CSK,Mohali,2018-04-15,Kings XI Punjab,0.0
11048,AJ Finch,14.0,-1,6,1,1,233.33,1,v SRH,Mohali,2018-04-19,Kings XI Punjab,1.0
11052,AJ Finch,2.0,-1,4,0,0,50.00,1,v Daredevils,Delhi,2018-04-23,Kings XI Punjab,0.0
11054,AJ Finch,8.0,-1,4,0,1,200.00,2,v SRH,Hyderabad,2018-04-26,Kings XI Punjab,0.0
11056,AJ Finch,34.0,0,20,0,3,170.00,2,v KKR,Indore,2018-05-12,Kings XI Punjab,0.0
11058,AJ Finch,26.0,0,23,1,2,113.04,1,v RCB,Indore,2018-05-14,Kings XI Punjab,0.0
11060,AJ Finch,46.0,0,35,3,1,131.42,2,v MI,Wankhede,2018-05-16,Kings XI Punjab,0.0
11062,AJ Finch,4.0,0,6,1,0,66.66,1,v CSK,Pune,2018-05-20,Kings XI Punjab,0.0
11064,AJ Finch,29.0,0,27,1,2,107.40,1,v SRH,Dubai (DICS),2020-09-21,Royal Challengers Bangalore,0.0
11066,AJ Finch,20.0,-1,21,3,0,95.23,2,v Kings XI,Dubai (DICS),2020-09-24,Royal Challengers Bangalore,0.0
11068,AJ Finch,52.0,0,35,7,1,148.57,1,v MI,Dubai (DICS),2020-09-28,Royal Challengers Bangalore,0.0
11070,AJ Finch,8.0,0,7,2,0,114.28,2,v RR,Abu Dhabi,2020-10-03,Royal Challengers Bangalore,0.0
11072,AJ Finch,13.0,-1,14,1,0,92.85,2,v DC,Dubai (DICS),2020-10-05,Royal Challengers Bangalore,0.0
11074,AJ Finch,2.0,-1,9,0,0,22.22,1,v CSK,Dubai (DICS),2020-10-10,Royal Challengers Bangalore,0.0
11076,AJ Finch,47.0,-1,37,4,1,127.02,1,v KKR,Sharjah,2020-10-12,Royal Challengers Bangalore,0.0
11078,AJ Finch,20.0,-1,18,2,1,111.11,1,v Kings XI,Sharjah,2020-10-15,Royal Challengers Bangalore,0.0
11080,AJ Finch,14.0,-1,11,0,2,127.27,2,v RR,Dubai (DICS),2020-10-17,Royal Challengers Bangalore,0.0
11082,AJ Finch,16.0,0,21,2,0,76.19,2,v KKR,Abu Dhabi,2020-10-21,Royal Challengers Bangalore,0.0
11084,AJ Finch,15.0,0,11,3,0,136.36,1,v CSK,Dubai (DICS),2020-10-25,Royal Challengers Bangalore,0.0
11086,AJ Finch,32.0,0,30,3,1,106.66,1,v SRH,Abu Dhabi,2020-11-06,Royal Challengers Bangalore,0.0
11088,AJ Finch,7.0,0,5,0,1,140.00,1,v SRH,Brabourne,2022-04-15,Kolkata Knight Riders,0.0
11090,AJ Finch,58.0,49,28,9,2,207.14,2,v RR,Brabourne,2022-04-18,Kolkata Knight Riders,0.0
11092,AJ Finch,3.0,9,7,0,0,42.85,1,v DC,Wankhede,2022-04-28,Kolkata Knight Riders,0.0
11094,AJ Finch,4.0,16,7,0,0,57.14,2,v RR,Wankhede,2022-05-02,Kolkata Knight Riders,0.0
11096,AJ Finch,14.0,29,14,1,0,100.00,2,v LSG,Pune,2022-05-07,Kolkata Knight Riders,0.0
22458,AK Markram,26.0,48,20,2,1,130.00,2,v RR,Dubai (DICS),2021-09-21,Punjab Kings,1.0
22460,AK Markram,27.0,48,32,2,0,84.37,1,v SRH,Sharjah,2021-09-25,Punjab Kings,0.0
22462,AK Markram,42.0,0,29,6,0,144.82,1,v MI,Abu Dhabi,2021-09-28,Punjab Kings,0.0
22464,AK Markram,18.0,0,16,0,1,112.50,2,v KKR,Dubai (DICS),2021-10-01,Punjab Kings,0.0
22466,AK Markram,20.0,21,14,2,1,142.85,2,v RCB,Sharjah,2021-10-03,Punjab Kings,0.0
22468,AK Markram,13.0,18,8,0,1,162.50,2,v CSK,Dubai (DICS),2021-10-07,Punjab Kings,0.0
22470,AK Markram,57.0,67,41,5,2,139.02,2,v RR,Pune,2022-03-29,Sunrisers Hyderabad,1.0
22472,AK Markram,12.0,23,14,0,0,85.71,2,v LSG,DY Patil,2022-04-04,Sunrisers Hyderabad,0.0
22476,AK Markram,12.0,17,8,1,0,150.00,2,v GT,DY Patil,2022-04-11,Sunrisers Hyderabad,1.0
22478,AK Markram,68.0,57,36,6,4,188.88,2,v KKR,Brabourne,2022-04-15,Sunrisers Hyderabad,1.0
22480,AK Markram,41.0,50,27,4,1,151.85,2,v Punjab Kings,DY Patil,2022-04-17,Sunrisers Hyderabad,1.0
22484,AK Markram,56.0,63,40,2,3,140.00,1,v GT,Wankhede,2022-04-27,Sunrisers Hyderabad,0.0
22486,AK Markram,17.0,14,10,0,2,170.00,2,v CSK,Pune,2022-05-01,Sunrisers Hyderabad,0.0
22488,AK Markram,42.0,47,25,4,3,168.00,2,v DC,Brabourne,2022-05-05,Sunrisers Hyderabad,0.0
22490,AK Markram,21.0,36,27,1,1,77.77,2,v RCB,Wankhede,2022-05-08,Sunrisers Hyderabad,0.0
22492,AK Markram,32.0,-1,25,0,3,128.00,2,v KKR,Pune,2022-05-14,Sunrisers Hyderabad,0.0
22494,AK Markram,2.0,8,4,0,0,50.00,1,v MI,Wankhede,2022-05-17,Sunrisers Hyderabad,0.0
22496,AK Markram,21.0,29,17,2,0,123.52,1,v Punjab Kings,Wankhede,2022-05-22,Sunrisers Hyderabad,0.0
22498,AK Markram,0.0,0,1,0,0,0.00,1,v LSG,Lucknow,2023-04-07,Sunrisers Hyderabad,0.0
22500,AK Markram,37.0,0,21,6,0,176.19,2,v Punjab Kings,Hyderabad,2023-04-09,Sunrisers Hyderabad,1.0
22502,AK Markram,50.0,0,26,2,5,192.30,1,v KKR,Eden Gardens,2023-04-14,Sunrisers Hyderabad,0.0
22504,AK Markram,22.0,0,17,1,1,129.41,2,v MI,Hyderabad,2023-04-18,Sunrisers Hyderabad,0.0
22506,AK Markram,12.0,0,12,1,0,100.00,1,v CSK,Chennai,2023-04-21,Sunrisers Hyderabad,0.0
22508,AK Markram,3.0,0,5,0,0,60.00,2,v DC,Hyderabad,2023-04-24,Sunrisers Hyderabad,0.0
22510,AK Markram,8.0,0,13,0,0,61.53,1,v DC,Delhi,2023-04-29,Sunrisers Hyderabad,0.0
22512,AK Markram,41.0,0,40,4,0,102.50,2,v KKR,Hyderabad,2023-05-04,Sunrisers Hyderabad,0.0
22514,AK Markram,6.0,0,5,1,0,120.00,2,v RR,Jaipur,2023-05-07,Sunrisers Hyderabad,0.0
22516,AK Markram,28.0,0,20,2,1,140.00,1,v LSG,Hyderabad,2023-05-13,Sunrisers Hyderabad,0.0
22518,AK Markram,10.0,19,10,1,0,100.00,2,v GT,Ahmedabad,2023-05-15,Sunrisers Hyderabad,0.0
22520,AK Markram,18.0,37,20,0,0,90.00,1,v RCB,Hyderabad,2023-05-18,Sunrisers Hyderabad,0.0
22522,AK Markram,13.0,19,7,0,1,185.71,1,v MI,Wankhede,2023-05-21,Sunrisers Hyderabad,1.0
22524,AK Markram,18.0,20,13,2,0,138.46,2,v KKR,Eden Gardens,2024-03-23,Sunrisers Hyderabad,0.0
22526,AK Markram,42.0,59,28,2,1,150.00,1,v MI,Hyderabad,2024-03-27,Sunrisers Hyderabad,1.0
22528,AK Markram,17.0,0,19,0,0,89.47,1,v GT,Ahmedabad,2024-03-31,Sunrisers Hyderabad,0.0
22530,AK Markram,50.0,0,36,4,1,138.88,2,v CSK,Hyderabad,2024-04-05,Sunrisers Hyderabad,0.0
22532,AK Markram,0.0,0,2,0,0,0.00,1,v Punjab Kings,Mullanpur,2024-04-09,Sunrisers Hyderabad,0.0
22534,AK Markram,32.0,0,17,2,2,188.23,1,v RCB,Bengaluru,2024-04-15,Sunrisers Hyderabad,1.0
22536,AK Markram,1.0,0,3,0,0,33.33,1,v DC,Delhi,2024-04-20,Sunrisers Hyderabad,0.0
22538,AK Markram,7.0,0,8,1,0,87.50,2,v RCB,Hyderabad,2024-04-25,Sunrisers Hyderabad,0.0
22540,AK Markram,32.0,42,26,4,0,123.07,2,v CSK,Chennai,2024-04-28,Sunrisers Hyderabad,0.0
22542,AK Markram,1.0,1,2,0,0,50.00,1,v RR,Chennai,2024-05-24,Sunrisers Hyderabad,0.0
22544,AK Markram,20.0,41,23,3,0,86.95,1,v KKR,Chennai,2024-05-26,Sunrisers Hyderabad,0.0
23196,AL Menaria,22.0,-1,15,0,3,146.66,2,v Daredevils,Jaipur,2011-04-12,Rajasthan Royals,0.0
23198,AL Menaria,27.0,-1,21,2,1,128.57,1,v KKR,Jaipur,2011-04-15,Rajasthan Royals,0.0
23200,AL Menaria,21.0,0,17,1,1,123.52,1,v KKR,Eden Gardens,2011-04-17,Rajasthan Royals,0.0
23202,AL Menaria,34.0,0,26,2,1,130.76,2,v Kings XI,Mohali,2011-04-21,Rajasthan Royals,0.0
23206,AL Menaria,4.0,0,4,1,0,100.00,2,v MI,Jaipur,2011-04-29,Rajasthan Royals,1.0
23208,AL Menaria,29.0,-1,22,0,3,131.81,2,v Warriors,Jaipur,2011-05-01,Rajasthan Royals,0.0
23210,AL Menaria,2.0,0,8,0,0,25.00,1,v CSK,Chennai,2011-05-04,Rajasthan Royals,0.0
23212,AL Menaria,2.0,0,5,0,0,40.00,2,v CSK,Jaipur,2011-05-09,Rajasthan Royals,0.0
23214,AL Menaria,8.0,0,6,1,0,133.33,1,v RCB,Jaipur,2011-05-11,Rajasthan Royals,0.0
23216,AL Menaria,31.0,-1,28,3,1,110.71,1,v Kochi,Indore,2011-05-15,Rajasthan Royals,0.0
23220,AL Menaria,0.0,5,3,0,0,0.00,1,v Kings XI,Jaipur,2012-04-06,Rajasthan Royals,0.0
23222,AL Menaria,40.0,0,30,4,1,133.33,1,v KKR,Jaipur,2012-04-08,Rajasthan Royals,0.0
23224,AL Menaria,20.0,0,15,2,1,133.33,2,v MI,Wankhede,2012-04-11,Rajasthan Royals,0.0
23226,AL Menaria,1.0,5,6,0,0,16.66,1,v KKR,Eden Gardens,2012-04-13,Rajasthan Royals,0.0
23230,AL Menaria,22.0,28,20,1,1,110.00,2,v Chargers,Jaipur,2012-04-17,Rajasthan Royals,0.0
23232,AL Menaria,36.0,0,34,2,1,105.88,1,v CSK,Chennai,2012-04-21,Rajasthan Royals,0.0
23236,AL Menaria,2.0,2,4,0,0,50.00,1,v Daredevils,Jaipur,2012-05-01,Rajasthan Royals,0.0
23238,AL Menaria,34.0,0,27,1,2,125.92,1,v Kings XI,Mohali,2012-05-05,Rajasthan Royals,0.0
23240,AL Menaria,18.0,0,21,1,0,85.71,2,v Warriors,Pune,2012-05-08,Rajasthan Royals,0.0
23242,AL Menaria,6.0,0,5,1,0,120.00,1,v CSK,Jaipur,2012-05-10,Rajasthan Royals,1.0
23246,AL Menaria,20.0,0,17,1,1,117.64,1,v Chargers,Hyderabad,2012-05-18,Rajasthan Royals,0.0
23248,AL Menaria,21.0,0,20,1,1,105.00,1,v MI,Jaipur,2012-05-20,Rajasthan Royals,0.0
23250,AL Menaria,1.0,0,2,0,0,50.00,1,v Daredevils,Delhi,2013-04-06,Rajasthan Royals,0.0
26700,AM Nayar,20.0,-1,14,1,1,142.85,1,v RCB,Wankhede,2008-04-20,Mumbai Indians,0.0
26702,AM Nayar,45.0,53,20,6,1,225.00,2,v CSK,Chennai,2008-04-23,Mumbai Indians,1.0
26704,AM Nayar,2.0,-1,3,0,0,66.66,2,v Kings XI,Mohali,2008-04-25,Mumbai Indians,0.0
26706,AM Nayar,34.0,-1,19,1,3,178.94,1,v Chargers,DY Patil,2008-04-27,Mumbai Indians,0.0
26710,AM Nayar,2.0,-1,6,0,0,33.33,1,v Daredevils,DY Patil,2008-05-04,Mumbai Indians,0.0
26712,AM Nayar,12.0,-1,13,1,0,92.30,2,v RR,DY Patil,2008-05-07,Mumbai Indians,1.0
26718,AM Nayar,38.0,-1,24,3,2,158.33,1,v Chargers,Hyderabad,2008-05-18,Mumbai Indians,0.0
26720,AM Nayar,27.0,-1,18,1,2,150.00,2,v Kings XI,Wankhede,2008-05-21,Mumbai Indians,0.0
26722,AM Nayar,1.0,-1,3,0,0,33.33,1,v Daredevils,Delhi,2008-05-24,Mumbai Indians,0.0
26724,AM Nayar,25.0,-1,18,3,0,138.88,1,v RR,Jaipur,2008-05-26,Mumbai Indians,0.0
26728,AM Nayar,35.0,-1,14,2,3,250.00,1,v CSK,Cape Town,2009-04-18,Mumbai Indians,0.0
26730,AM Nayar,10.0,-1,6,0,1,166.66,2,v Chargers,Durban,2009-04-25,Mumbai Indians,0.0
26732,AM Nayar,3.0,4,3,0,0,100.00,1,v KKR,Gqeberha,2009-04-27,Mumbai Indians,0.0
26734,AM Nayar,15.0,-1,15,1,0,100.00,2,v Kings XI,Durban,2009-04-29,Mumbai Indians,0.0
26736,AM Nayar,10.0,-1,13,1,0,76.92,1,v KKR,East London,2009-05-01,Mumbai Indians,0.0
26738,AM Nayar,29.0,-1,20,4,0,145.00,1,v RCB,Johannesburg,2009-05-03,Mumbai Indians,1.0
26740,AM Nayar,1.0,-1,4,0,0,25.00,2,v Chargers,Centurion,2009-05-06,Mumbai Indians,0.0
26742,AM Nayar,18.0,-1,28,1,0,64.28,1,v Daredevils,East London,2009-05-08,Mumbai Indians,0.0
26748,AM Nayar,35.0,-1,18,4,1,194.44,2,v RR,Durban,2009-05-14,Mumbai Indians,0.0
26750,AM Nayar,33.0,-1,27,1,2,122.22,1,v CSK,Gqeberha,2009-05-16,Mumbai Indians,1.0
26752,AM Nayar,4.0,-1,4,0,0,100.00,1,v Daredevils,Centurion,2009-05-21,Mumbai Indians,0.0
26754,AM Nayar,9.0,-1,7,1,0,128.57,1,v RCB,Bengaluru,2010-04-17,Mumbai Indians,1.0
26756,AM Nayar,22.0,-1,18,2,0,122.22,1,v RCB,DY Patil,2010-04-21,Mumbai Indians,0.0
26758,AM Nayar,27.0,-1,26,1,2,103.84,2,v CSK,DY Patil,2010-04-25,Mumbai Indians,0.0
26760,AM Nayar,12.0,-1,18,2,0,66.66,1,v Warriors,DY Patil,2011-04-10,Kings XI Punjab,0.0
26762,AM Nayar,0.0,-1,1,0,0,0.00,2,v CSK,Mohali,2011-04-13,Kings XI Punjab,0.0
26764,AM Nayar,13.0,-1,10,2,0,130.00,2,v Chargers,Hyderabad,2011-04-16,Kings XI Punjab,1.0
26766,AM Nayar,1.0,-1,3,0,0,33.33,1,v RR,Mohali,2011-04-21,Kings XI Punjab,0.0
26768,AM Nayar,17.0,-1,13,3,0,130.76,2,v Daredevils,Delhi,2011-04-23,Kings XI Punjab,1.0
26770,AM Nayar,0.0,-1,2,0,0,0.00,1,v KKR,Eden Gardens,2011-04-30,Kings XI Punjab,0.0
26772,AM Nayar,14.0,-1,9,2,0,155.55,2,v MI,Wankhede,2011-05-02,Kings XI Punjab,0.0
26774,AM Nayar,1.0,8,4,0,0,25.00,2,v RCB,Bengaluru,2011-05-06,Kings XI Punjab,0.0
26778,AM Nayar,3.0,-1,7,0,0,42.85,2,v Chargers,Dharamsala,2011-05-21,Kings XI Punjab,0.0
26780,AM Nayar,10.0,9,10,0,1,100.00,2,v RR,Jaipur,2012-04-06,Kings XI Punjab,0.0
26782,AM Nayar,24.0,44,28,2,0,85.71,2,v Warriors,Pune,2012-04-08,Kings XI Punjab,0.0
26784,AM Nayar,2.0,8,3,0,0,66.66,2,v RCB,Bengaluru,2012-05-02,Kings XI Punjab,0.0
26786,AM Nayar,9.0,25,8,0,0,112.50,2,v RR,Mohali,2012-05-05,Kings XI Punjab,1.0
26788,AM Nayar,19.0,22,14,2,0,135.71,2,v SRH,Hyderabad,2013-04-05,Pune Warriors,0.0
26790,AM Nayar,25.0,44,26,3,0,96.15,1,v Kings XI,Pune,2013-04-07,Pune Warriors,1.0
26794,AM Nayar,6.0,14,7,0,0,85.71,2,v MI,Wankhede,2013-04-13,Pune Warriors,0.0
26798,AM Nayar,0.0,1,2,0,0,0.00,2,v SRH,Pune,2013-04-17,Pune Warriors,0.0
26800,AM Nayar,2.0,2,2,0,0,100.00,1,v Kings XI,Mohali,2013-04-21,Pune Warriors,1.0
26804,AM Nayar,2.0,9,4,0,0,50.00,2,v CSK,Pune,2013-04-30,Pune Warriors,0.0
26806,AM Nayar,1.0,5,3,0,0,33.33,2,v RCB,Pune,2013-05-02,Pune Warriors,0.0
26808,AM Nayar,11.0,31,14,0,0,78.57,1,v MI,Pune,2013-05-11,Pune Warriors,0.0
26810,AM Nayar,4.0,-1,3,1,0,133.33,2,v SRH,Abu Dhabi,2014-04-18,Rajasthan Royals,0.0
26812,AM Nayar,23.0,31,20,2,1,115.00,1,v Kings XI,Sharjah,2014-04-20,Rajasthan Royals,0.0
26814,AM Nayar,5.0,6,7,1,0,71.42,2,v CSK,Dubai (DICS),2014-04-23,Rajasthan Royals,0.0
26816,AM Nayar,11.0,36,17,1,0,64.70,2,v RCB,Abu Dhabi,2014-04-26,Rajasthan Royals,1.0
32422,AM Rahane,0.0,-1,7,0,0,0.00,1,v Chargers,DY Patil,2008-04-27,Mumbai Indians,0.0
32424,AM Rahane,4.0,-1,10,1,0,40.00,2,v KKR,Eden Gardens,2008-04-29,Mumbai Indians,0.0
32426,AM Rahane,10.0,-1,8,1,0,125.00,1,v KKR,East London,2009-05-01,Mumbai Indians,0.0
32428,AM Rahane,0.0,-1,1,0,0,0.00,1,v RCB,Johannesburg,2009-05-03,Mumbai Indians,0.0
32430,AM Rahane,12.0,-1,12,2,0,100.00,1,v Daredevils,East London,2009-05-08,Mumbai Indians,0.0
